file seconds
./AML-10_rep10.csv 106.26
./AML-10_rep1.csv 101.57
./AML-10_rep2.csv 113.44
./AML-10_rep3.csv 101.79
./AML-10_rep4.csv 104.10
./AML-10_rep5.csv 95.22
./AML-10_rep6.csv 110.15
./AML-10_rep7.csv 107.46
./AML-10_rep8.csv 106.30
./AML-10_rep9.csv 106.33
./AML-2_rep10.csv 81.63
./AML-2_rep1.csv 77.14
./AML-2_rep2.csv 501.60
./AML-2_rep3.csv 77.42
./AML-2_rep4.csv 75.06
./AML-2_rep5.csv 81.74
./AML-2_rep6.csv 81.85
./AML-2_rep7.csv 74.65
./AML-2_rep8.csv 83.13
./AML-2_rep9.csv 83.90
./AML-33_rep10.csv 42.63
./AML-33_rep1.csv 39.26
./AML-33_rep2.csv 41.66
./AML-33_rep3.csv 41.51
./AML-33_rep4.csv 41.37
./AML-33_rep5.csv 45.46
./AML-33_rep6.csv 41.34
./AML-33_rep7.csv 43.27
./AML-33_rep8.csv 41.87
./AML-33_rep9.csv 41.55
./AML-47_rep10.csv 8.46
./AML-47_rep1.csv 8.10
./AML-47_rep2.csv 7.99
./AML-47_rep3.csv 8.38
./AML-47_rep4.csv 8.30
./AML-47_rep5.csv 7.84
./AML-47_rep6.csv 7.85
./AML-47_rep7.csv 8.03
./AML-47_rep8.csv 8.32
./AML-47_rep9.csv 7.91
./AML-53_rep10.csv 152.92
./AML-53_rep1.csv 155.68
./AML-53_rep2.csv 158.26
./AML-53_rep3.csv 162.44
./AML-53_rep4.csv 158.66
./AML-53_rep5.csv 158.11
./AML-53_rep6.csv 163.63
./AML-53_rep7.csv 154.86
./AML-53_rep8.csv 153.93
./AML-53_rep9.csv 189.80
./AML-58_rep10.csv 26.70
./AML-58_rep1.csv 24.69
./AML-58_rep2.csv 23.77
./AML-58_rep3.csv 24.83
./AML-58_rep4.csv 24.23
./AML-58_rep5.csv 25.55
./AML-58_rep6.csv 24.70
./AML-58_rep7.csv 25.69
./AML-58_rep8.csv 25.23
./AML-58_rep9.csv 23.97
./AML-62_rep10.csv 111.04
./AML-62_rep1.csv 501.08
./AML-62_rep2.csv 113.39
./AML-62_rep3.csv 136.85
./AML-62_rep4.csv 501.47
./AML-62_rep5.csv 112.47
./AML-62_rep6.csv 119.98
./AML-62_rep7.csv 102.36
./AML-62_rep8.csv 500.96
./AML-62_rep9.csv 105.81
./AML-63_rep10.csv 126.71
./AML-63_rep1.csv 127.20
./AML-63_rep2.csv 123.16
./AML-63_rep3.csv 127.95
./AML-63_rep4.csv 126.35
./AML-63_rep5.csv 121.04
./AML-63_rep6.csv 133.54
./AML-63_rep7.csv 116.12
./AML-63_rep8.csv 116.75
./AML-63_rep9.csv 155.67
./AML-67_rep10.csv 503.10
./AML-67_rep1.csv 502.34
./AML-67_rep2.csv 502.10
./AML-67_rep3.csv 501.84
./AML-67_rep4.csv 502.20
./AML-67_rep5.csv 502.14
./AML-67_rep6.csv 501.99
./AML-67_rep7.csv 504.01
./AML-67_rep8.csv 502.25
./AML-67_rep9.csv 503.13
./AML-69_rep10.csv 141.12
./AML-69_rep1.csv 108.78
./AML-69_rep2.csv 98.25
./AML-69_rep3.csv 86.06
./AML-69_rep4.csv 93.20
./AML-69_rep5.csv 98.99
./AML-69_rep6.csv 93.78
./AML-69_rep7.csv 89.70
./AML-69_rep8.csv 91.53
./AML-69_rep9.csv 93.12
./AML-74_rep10.csv 503.67
./AML-74_rep1.csv 502.83
./AML-74_rep2.csv 503.45
./AML-74_rep3.csv 503.82
./AML-74_rep4.csv 503.41
./AML-74_rep5.csv 504.29
./AML-74_rep6.csv 502.13
./AML-74_rep7.csv 502.89
./AML-74_rep8.csv 502.39
./AML-74_rep9.csv 501.88
./AML-8_rep10.csv 5.92
./AML-8_rep1.csv 6.55
./AML-8_rep2.csv 7.11
./AML-8_rep3.csv 6.91
./AML-8_rep4.csv 6.60
./AML-8_rep5.csv 6.87
./AML-8_rep6.csv 6.43
./AML-8_rep7.csv 7.09
./AML-8_rep8.csv 6.97
./AML-8_rep9.csv 6.62
