file seconds
./sim10_m100_n100_linear.csv 508.24
./sim11_m100_n100_branched.csv 510.31
./sim12_m100_n100_linear.csv 509.59
./sim13_m100_n100_branched.csv 510.82
./sim14_m100_n100_linear.csv 509.68
./sim15_m100_n100_branched.csv 509.11
./sim16_m100_n100_linear.csv 510.27
./sim17_m100_n100_branched.csv 511.83
./sim18_m100_n100_linear.csv 508.97
./sim19_m100_n100_branched.csv 510.72
./sim1_m100_n100_branched.csv 510.60
./sim20_m100_n100_linear.csv 511.92
./sim21_m100_n100_branched.csv 509.65
./sim22_m100_n100_linear.csv 510.52
./sim23_m100_n100_branched.csv 508.93
./sim24_m100_n100_linear.csv 509.60
./sim25_m100_n100_branched.csv 511.34
./sim26_m100_n100_linear.csv 511.05
./sim27_m100_n100_branched.csv 509.38
./sim28_m100_n100_linear.csv 509.07
./sim29_m100_n100_branched.csv 510.66
./sim2_m100_n100_linear.csv 509.86
./sim30_m100_n100_linear.csv 510.99
./sim31_m100_n100_branched.csv 509.93
./sim32_m100_n100_linear.csv 510.69
./sim33_m100_n100_branched.csv 511.32
./sim34_m100_n100_linear.csv 508.81
./sim35_m100_n100_branched.csv 510.96
./sim36_m100_n100_linear.csv 509.70
./sim37_m100_n100_branched.csv 511.61
./sim38_m100_n100_linear.csv 509.52
./sim39_m100_n100_branched.csv 509.58
./sim3_m100_n100_branched.csv 509.92
./sim40_m100_n100_linear.csv 510.29
./sim41_m100_n100_branched.csv 509.71
./sim42_m100_n100_linear.csv 509.36
./sim43_m100_n100_branched.csv 509.90
./sim44_m100_n100_linear.csv 509.67
./sim45_m100_n100_branched.csv 510.83
./sim46_m100_n100_linear.csv 509.45
./sim47_m100_n100_branched.csv 510.06
./sim48_m100_n100_linear.csv 510.58
./sim49_m100_n100_branched.csv 510.57
./sim4_m100_n100_linear.csv 509.61
./sim50_m100_n100_linear.csv 510.33
./sim5_m100_n100_branched.csv 510.44
./sim6_m100_n100_linear.csv 509.63
./sim7_m100_n100_branched.csv 511.86
./sim8_m100_n100_linear.csv 510.01
./sim9_m100_n100_branched.csv 509.56
