file seconds
./sim10_m100_n100_linear.csv 510.09
./sim11_m100_n100_branched.csv 513.27
./sim12_m100_n100_linear.csv 508.47
./sim13_m100_n100_branched.csv 509.44
./sim14_m100_n100_linear.csv 508.11
./sim15_m100_n100_branched.csv 508.19
./sim16_m100_n100_linear.csv 509.61
./sim17_m100_n100_branched.csv 509.99
./sim18_m100_n100_linear.csv 508.44
./sim19_m100_n100_branched.csv 512.47
./sim1_m100_n100_branched.csv 510.10
./sim20_m100_n100_linear.csv 508.84
./sim21_m100_n100_branched.csv 512.77
./sim22_m100_n100_linear.csv 508.81
./sim23_m100_n100_branched.csv 511.92
./sim24_m100_n100_linear.csv 508.27
./sim25_m100_n100_branched.csv 510.33
./sim26_m100_n100_linear.csv 510.03
./sim27_m100_n100_branched.csv 510.51
./sim28_m100_n100_linear.csv 508.60
./sim29_m100_n100_branched.csv 509.74
./sim2_m100_n100_linear.csv 511.04
./sim30_m100_n100_linear.csv 507.94
./sim31_m100_n100_branched.csv 510.17
./sim32_m100_n100_linear.csv 508.74
./sim33_m100_n100_branched.csv 509.72
./sim34_m100_n100_linear.csv 510.15
./sim35_m100_n100_branched.csv 509.40
./sim36_m100_n100_linear.csv 509.30
./sim37_m100_n100_branched.csv 511.70
./sim38_m100_n100_linear.csv 510.86
./sim39_m100_n100_branched.csv 509.77
./sim3_m100_n100_branched.csv 512.63
./sim40_m100_n100_linear.csv 512.06
./sim41_m100_n100_branched.csv 508.79
./sim42_m100_n100_linear.csv 510.74
./sim43_m100_n100_branched.csv 508.34
./sim44_m100_n100_linear.csv 512.01
./sim45_m100_n100_branched.csv 512.01
./sim46_m100_n100_linear.csv 511.08
./sim47_m100_n100_branched.csv 509.75
./sim48_m100_n100_linear.csv 508.88
./sim49_m100_n100_branched.csv 510.16
./sim4_m100_n100_linear.csv 509.14
./sim50_m100_n100_linear.csv 509.48
./sim5_m100_n100_branched.csv 509.35
./sim6_m100_n100_linear.csv 510.08
./sim7_m100_n100_branched.csv 509.44
./sim8_m100_n100_linear.csv 509.85
./sim9_m100_n100_branched.csv 507.12
