file seconds
./sim10_m100_n100_linear.csv 508.25
./sim11_m100_n100_branched.csv 507.05
./sim12_m100_n100_linear.csv 507.60
./sim13_m100_n100_branched.csv 509.40
./sim14_m100_n100_linear.csv 507.94
./sim15_m100_n100_branched.csv 509.37
./sim16_m100_n100_linear.csv 507.82
./sim17_m100_n100_branched.csv 507.35
./sim18_m100_n100_linear.csv 506.88
./sim19_m100_n100_branched.csv 509.22
./sim1_m100_n100_branched.csv 508.55
./sim20_m100_n100_linear.csv 509.45
./sim21_m100_n100_branched.csv 509.46
./sim22_m100_n100_linear.csv 509.18
./sim23_m100_n100_branched.csv 508.23
./sim24_m100_n100_linear.csv 508.49
./sim25_m100_n100_branched.csv 510.95
./sim26_m100_n100_linear.csv 509.11
./sim27_m100_n100_branched.csv 507.68
./sim28_m100_n100_linear.csv 507.81
./sim29_m100_n100_branched.csv 508.25
./sim2_m100_n100_linear.csv 507.89
./sim30_m100_n100_linear.csv 508.29
./sim31_m100_n100_branched.csv 508.08
./sim32_m100_n100_linear.csv 506.93
./sim33_m100_n100_branched.csv 507.78
./sim34_m100_n100_linear.csv 507.00
./sim35_m100_n100_branched.csv 509.02
./sim36_m100_n100_linear.csv 508.22
./sim37_m100_n100_branched.csv 509.60
./sim38_m100_n100_linear.csv 509.63
./sim39_m100_n100_branched.csv 507.97
./sim3_m100_n100_branched.csv 509.17
./sim40_m100_n100_linear.csv 511.59
./sim41_m100_n100_branched.csv 509.68
./sim42_m100_n100_linear.csv 511.71
./sim43_m100_n100_branched.csv 508.34
./sim44_m100_n100_linear.csv 511.69
./sim45_m100_n100_branched.csv 510.83
./sim46_m100_n100_linear.csv 510.58
./sim47_m100_n100_branched.csv 511.89
./sim48_m100_n100_linear.csv 508.74
./sim49_m100_n100_branched.csv 512.62
./sim4_m100_n100_linear.csv 509.07
./sim50_m100_n100_linear.csv 509.18
./sim5_m100_n100_branched.csv 510.09
./sim6_m100_n100_linear.csv 510.36
./sim7_m100_n100_branched.csv 509.07
./sim8_m100_n100_linear.csv 510.08
./sim9_m100_n100_branched.csv 507.46
